"Source:","D:\cummins\Auxillary supply\DSP_board\DSP_board\DSP_board.kicad_sch"
"Date:","05-05-2023 06:20:35"
"Tool:","Eeschema (6.0.7)"
"Generator:","D:\installed\ki-cad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","137"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet_1","Description","Footprint_1","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Value_1"
"","","J2","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J3","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J4","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J5","1-84981-0","ribbon_connector:1-84981-0","jtag_connector:1849810","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5-1773461-0_Standard_FPC_Connectors_QRG&DocType=Data+Sheet&DocLang=English&PartCntxt=1-84981-0&DocFormat=pdf","","1mm R/A SMT PCB FFC receptacle, 10P TE Connectivity FPC Series 1mm Pitch 10 Way 1 Row Right Angle SMT Female FPC Connector, Tin Plated Contacts","","3","TE Connectivity","1-84981-0","571-1-84981-0","https://www.mouser.co.uk/ProductDetail/TE-Connectivity/1-84981-0?qs=bdENzIhz2rlBuyk81JkJQw%3D%3D","",""
"","","J6","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J7","Conn_02x12_Odd_Even","Connector_Generic:Conn_02x12_Odd_Even","","~","","","","","","","","","",""
"","","J8","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x07_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J9","Conn_02x07_Counter_Clockwise","Connector_Generic:Conn_02x07_Counter_Clockwise","","~","","","","","","","","","",""
"","","J_power1","Conn_02x03_Counter_Clockwise","Connector_Generic:Conn_02x03_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","LDO1","NCV8114ASN165T1G","NCV8114ASN165T1G:NCV8114ASN165T1G","ldo_ncv118:SOT95P275X110-5N","","https://www.onsemi.com/pub/Collateral/NCV8114-D.PDF","","SOT95P275X110-5N","1.1","onsemi","NCV8114ASN165T1G","863-NCV8114ASN165T1G","https://www.mouser.co.uk/ProductDetail/onsemi/NCV8114ASN165T1G?qs=PqoDHHvF64%252BWMsY7A2HF3Q%3D%3D","IC","NCV8114ASN165T1G"
